objdump.c,2267 
objdump.c,3410 cache.c,415
objdump.c,3410 linker.c,767
objdump.c,3410 linker.c,748
objdump.c,3410 syms.c,539
objdump.c,3421 archures.c,1441
objdump.c,3421 archures.c,965
objdump.c,3421 bfd.c,1910
objdump.c,3421 bfdio.c,471
objdump.c,3421 bfdio.c,491
objdump.c,3421 bfdio.c,526
objdump.c,3421 opncls.c,500
objdump.c,3421 opncls.c,512
objdump.c,3421 opncls.c,487
objdump.c,3421 ihex.c,897
objdump.c,3421 srec.c,870
objdump.c,3421 tekhex.c,683
objdump.c,3421 verilog.c,95
objdump.c,3421 pex64igen.c,109
objdump.c,3421 pex64igen.c,235
objdump.c,3421 pex64igen.c,441
objdump.c,3421 pex64igen.c,451
objdump.c,3421 pex64igen.c,462
objdump.c,3421 pex64igen.c,629
objdump.c,3421 pex64igen.c,818
objdump.c,3421 pex64igen.c,949
objdump.c,3421 elfcode.h,1047
objdump.c,3421 elf.c,8132
objdump.c,3421 elf.c,8613
objdump.c,3421 elfcode.h,1047
objdump.c,3421 aoutx.h,874
objdump.c,3421 coffcode.h,3116
objdump.c,3421 peicode.h,144
objdump.c,3421 peicode.h,169
objdump.c,3421 peicode.h,203
objdump.c,3421 peicode.h,130
objdump.c,3421 peicode.h,281
objdump.c,3421 peigen.c,109
objdump.c,3421 peigen.c,235
objdump.c,3421 peigen.c,441
objdump.c,3421 peigen.c,451
objdump.c,3421 peigen.c,462
objdump.c,3421 peigen.c,629
objdump.c,3421 peigen.c,818
objdump.c,3421 peigen.c,949
objdump.c,3421 coffgen.c,2013
objdump.c,3421 coffcode.h,3116
objdump.c,3421 peicode.h,144
objdump.c,3421 peicode.h,169
objdump.c,3421 peicode.h,203
objdump.c,3421 peicode.h,130
objdump.c,3421 peicode.h,281
objdump.c,3421 cpu-i386.c,103
objdump.c,3421 cpu-i386.c,123
objdump.c,3421 cpu-i386.c,113
objdump.c,3421 cache.c,355
objdump.c,3421 cache.c,392
objdump.c,3421 cache.c,288
objdump.c,3421 zutil.c,305
objdump.c,3507 
objdump.c,3507 libbfd.c,486
objdump.c,3507 libbfd.c,493
